,Dates,Ratings,Titles,Bodys
10,2022-10-01,4,Good Choice,Good Choice
11,2022-12-19,5,Valued product,Valued Product.
12,2022-09-15,4,Nice,Nice product....
13,2022-05-30,5,Excellent and Affordable,"Review after 4 months regular useProbably the best choice at the priceWashing much better than Top Load machine which technology I've been using for almost 15 years. Wish I had gone Front Load much earlier. Much less water use compared to top load and 1200rpm spin speed gives better drying.No vibration or stability issues as reported by others.  Mine runs quite quiet. Think the problem others are having is due to installation issues like not being placed on a level surface.The machine is really, really heavy and extremely difficult to move., so take care."
14,2022-06-30,4,Good one,"Reviewing it after 4 years, it is very good one, washes clothes very well. No issues with the machine"
15,2020-09-23,4,Good Buy,"When i was planning to exchange my Samsung Front load Washing machine, was bit skeptical on the other brands.  Since i was looking the product in budget range but with best features, was unable to come to conclusion on the product.This Particular product has been suggested by one of my friend and later i started to check the reviews and this was quite satisfactory and i made a deal to buy this during offer time.  I got this for almost 24K with exchange and the product was delivered in time.The product is too heavy and this added the advantage of low vibration.  And Noise is very less and the time takes by this machine is comparatively lesser with my earlier one.  So far it is going good.But only issue what i found is on the service part, as they are not fast as Samsung or LG.  After placing your service request you need to wait for 1 or 2 days.  And secondly the service persons try to push some accessories and you can decide whatever you feel it is right to you.Since Bosch is my first experience, even i have taken there extended warranty for 3 more years.  Hope the machine will be trouble free even in future"
16,2022-01-01,5,Great product.. good service,"My 1st machine was delivered with some damage so I sent it back and ordered another after 15 days. The machine now delivered is good and the performance is also great.I had read a lot of reviews some of which were about bad installation services and panel button being hard. I had a very pleasant installation experience. The person arrived on time, installed the machine quickly he even did not accept any help to move the machine to the installation place and did is independently. Gave a complete demo and answered all our questions. Did not sale us any additional accessories. Overall a very pleasant experience.The touch panel buttons are very soft and easy to use, contrary to the feed back I read. So pleasently surprised.Tha nosie level is very low.Overall a great product and good service. Very happy with both"
17,2020-12-29,5,Washing made easy,"We've been using a top load semi-automatic(Double drum type) for 2 decades. Moving to a fully automated front load was like moving from a Maruti 800cc car to a BMW .  We just love it that we can simply load in the clothes , shut it, let it do its work and take  out 80% dry clothes (at 1200 rpm spin)  after an hour.  The machine is very sleek, not noisy .  As far as features is concerned, I really don't know as I don't segregate  the clothes and wash. it's always in the Mixed load mode & we are happy with the outcome.  If you have soaked the clothes externally and just want to rinse & dry, it will do it. You do have quick wash for 30 minutes.  The anti -Tangle is nonsense, put in 9 yards Dhoti / Sari and you can be rest assured its tangled.  One thing you need to know is that at 1200 rpm it will draw power at 1900 to 2300 Watts(says so at the back panel of the machine) , hence you have to make sure that your power circuit brake is at 16 Amps so the power doesn't trip when going to 1200 rpm spin mode. However, the machine doesn't really guzzle power .To conclude, this is the latest model from Bosch as on Oct 2020. Bosch is a trusted brand and are doing good in this segment hence, you can take the plunge for this product."
18,2021-11-09,5,Happy purchase!,After reading tons of front loading washing machines (FLWM) from different brands- I decided to go for Bosch. Simply because they are the best in the market when it comes to FLWMs.Pros:1. Amazon large appliances delivery was very prompt. Asked me to check the machine for any damages in their presence which were none in my case.2. Very easy to use.3. Clothes seem fresher and less crumpled after a wash.Only cons are:1. The power adapter wire is a bit short.2. The touch sensitive buttons require a double tap at times even though they seem feather touch.3. Atrocious pricing on accessories from Bosch (but that’s another story) I had to spend 700 on a cover and 2000 on Stand from Bosch (all through Amazon)4. Service advisor/installation team from Bosch was hard selling their products which I politely refused.Go for additional warranty directly from Bosch website and enjoy this machine for years to come.
19,2021-09-16,4,Silent and economical wash m/c,"What we liked the build quality and looks. It takes 45 minutes for the mix load cold water wash, consumes only 30-40 litre water depending on load, and produces very less noise. Good that it remembers last used program. In hot weather days, we use a spin speed of 600 rpm and it's enough to dry clothes the next day. We can choose the water temperature and spin speed from predefined values. What I didn't like is that it's too heavy to move, and it leaves some drops of water near the door in the gasket. Overall, it's good and we're happy using it."
20,2017-07-08,1,Bosch recall this nonsensical machine!,"I bought this at a local store with whom I have an ongoing financing option at Rs.31000 and not on amazon; I thoroughly read the reviews here before taking an informed decision to buy this machine.  Its the stupidest washing machine in existance and I regretted this decision from the moment the technician arrived to install it and from the very first wash cycle! Had no issue with technician, he came very next day for installation and did not charge for the service. Firstly, the length of the water inlet tube provided was too short and I had to purchase a longer one; can't understand how this big company 'Bosch' expects everyone to place their machine right next to water inlet with out giving a little flexibility to the customers! Secondly, the guy wanted us to buy an adapter to fix to the tap (it was just fine for my previous Siemens machine). Can't understand why all these parts specific to the Bosch make cannot be supplied by manufacturer itself as part of the machine? After Rs.500 of additional expenses the machine was set up (got a local tube & adapter, the Bosch one was exorbitantly priced!).  Before purchasing this machine, I had read in the reviews about The ""dreaded"" E17 error alert caused by inadequate water supplied to the machine. I specifically asked the Bosch  dealer about this and he said the if the minimum flow is 8 lts of water per  minute then we are fine. The flow from my inlet is double this and still I get the AWFUL E17 error beep almost during every wash!  Every time, I have to be around during the wash ( I cannot leave it on and go out) to hit the restart button, after which the machine does not resume working by drawing more water but this stupid machine increases the wash time again! ABSOLUTELY FRUSTRATING!! After all this anxiety it does not even give a good wash. I was told that at 7kg capacity I can load up to 3/4 of the drum height or approximately 14 normal size clothes. When I do this most of the clothes come out with dry patches on them because the water has not even touched those parts!! So, I add only 7/8 clothes for each wash. I found my old Siemens machine was more silent during operation. The spin cycle does make some noise. Took the time to write this review so that you guys know about  the hard time I'm having with this machine. Sharing pics of dry patches after washing in this machine."
21,2022-07-10,3,Water pressure issue,"I was very excited to get the washing machine, However i was told by the engineer during installation that the water pressure is not  sufficient. I have raised a request for the same with customer care team. Kindly check water pressure  at your location before booking"
22,2020-10-30,5,BOSCH is Boss....of All...!!,"I purchased this product on 16th October 2020. In the sale of Grate India festival. I got bank offer also. After all i paid 25.5K. I think it is a better deal for BOSCH WAJ2426SIN model. After opening of my washing machine i found some water in door knobs and at drain door also. Im think it is used piece. Technitian explained that testing purposes they run the machine. So need not vorry about it.Installation take 1 day extra time. What they promised. But installation person good. He explained well. Washing machine first impression is good. Noice level is very low. Machine doesn't vibrate. Im not using stand. Performance also good.  Am Little bit doubtful for new touch model. No one given reviews about this model. So im douted about performance of this model. After using of one week. Im saying that it is a best model. And value for money. The technitian says that this model have inverter moter. It saves the power consumption. Im very happy of selecting for this BOSCH company and this model.  Im searching any enquiries so many companies and models at shoping malls, friends.. finally i bought this model..  For 4 to 5 members family blindly choose this 7kg model. Tq Bosch n Amazon"
23,2019-02-13,5,Superb. Excellent for 4-5 family members.,"First time I am buying an expensive product online. Everything went smooth for me with this product. Exchange discount, instant discount with credit card, amazon delivery, installation and of course the machine. It has been 3 months since we started using.  I got it for 24,000/- (includes exchange discount of 2000/-). Best thing I like is clothes come out fresh and looks new.Prior to this we used to own an LG top loading machine 6.5 kg but this machine is far far....better w.r.t. cleaning, water usage, electricity consumption, less detergent, very less sound except while drying. Full respect to German engineering. I bought the stand and cover, also the drum cleaner powder from the installation guy itself and they are of good quality too. Stand is fixed at one place. Make sure it is balanced and machine does not vibrate while drying. i think stand is necessary so that we can clean the floor under the machine else it almost touches the floor.Few tips for less electricity consumption: Unless if it is required run the machine mostly in 30°c. (daily wash). Higher temp. will consume more power.  If ur staying in a home where u can dry ur clothes in the sun then u can decrease the rpm to 800. Default is 1200. If not in hurry u can disable Speed Perfect option which if disabled takes more time to wash but consumes less power. Use 15'/30' program for mild wash and less clothes."
24,2022-08-13,5,Great Product by bosh,"This is a very good Product, will recommend it built quality is excellent. Washing and sound is also very good.The technical team came in just 1 day and installed the machine."
25,2021-07-08,5,Just go for it. Fully value for every paisa u invested.❤️,"Writing d review after using more than 1 year.👍Everything is as simple that a Grade I student cn operate it.👍Just put detergent, softener-fluidand press d pre-set displayed option and let it go. Done.👍Wash is beautiful. Washed regular use jeans, it's just fine(use warm water setup button).👍Mode for Sari, daily use, silk cloth, cotton cloth, normal wash etc.👍I bought ds heater option. It works great.👍Received package in great way.👍Noise level is really low.👍Vibration is also low at 1200rpm👍 Different mode for different cloths/usage, ds helps a great even for elderly ppl.👍 Customer support is really good.💠Use Rinse mode after 25/30 usage.💠Try not to put it on some support, keep it on floor, it's really weighty.💠Bought ds for my mother. But alas! She asks me to operate it😁📣📣Conclusion : Just go for it. It's really value for money - FULLY JUSTIFIED."
26,2021-03-30,4,Great product 👌,Writing this review after 20 days of usage.I was a bit sceptical before purchasing this model. But after doing lots of research I chose this one and to be honest I am really happy with the product so far.The wash quality is really good. I'm getting 80% dry clothes after wash due to 1200 rpm.But it can't wash hard stain properly.The eco silent drive works perfectly. I'm getting very less noise and vibration during wash & spin cycle (without any stand).The only con is it's white colour. It's prone to get dirty. So if you can stretch your budget go for a different colour option.Please go ahead if you want to buy this model.
27,2019-10-24,5,Best Washing Machine I've Used.,"I had Whirlpool Top Load Washing Machine and I got it Exchanged with Bosch.Here is my review after 1 Months Usage.Pros1.  All Clothes are Super clean after wash.  I could literally make out the difference by looking at the clothes.  In my Old Top Load Machine, I could easily see the Left Over Dirt on clothes after Wash, and I was never really Happy, but I am quite happy with Bosch as it cleans all clothes very well.2. Water Consumption is Way too Less in Bosch.  The Top Load Machine fill the Entire Drum with Water and then it twists to clean the Clothes.  however in Front Load, it uses the Water only to to Wet the Clothes which reduces the amount of Water usage by a drastic amount.3. Amount of Noise is comparatively less.4. Unloading the clothes are super Easy, you just to keep a basket below the Front door and pull all clothes down.  I find this very Helpful :)Cos:The Machine actually does not vibrate on Normal speed or While it is in Washing Mode.  However it tend to a vibrate a Bit while the machine spins at maximum speed.  I dont see that as a Problem though.I have not faced anyother issues with the Unit so far, and I do not have anything to commend on Negative Side.  I hope the Machine Lasts Long as I have invested a lot of Money for this.I have bought an additional Stand for the Washing Machine for Bosch (Rs 3000). This is kept in my utility, and we usually Pour Water on Floor to clean the Surface and a Stand was Essential."
28,2022-08-15,1,It's waste of money. Don't buy this washing machine.,"I bought this Bosh front load washing machine 7.0kg in the year November 2019, Hardly we used it for less than 6months and there after more than 18months it was kept idle. As we went to home town and continued office related works at my native place through work from home option. We recently came back to Chennai and started using this washing machine, but this is not working properly, when we start the machine by opting Quick wash mode. The ideal time to complete quick wash job is 44min, but it takes 75mins or even more, due to the reason the time indicated on the screen get jumped automatically and when we wait till the job get complete, the door would not open and we receive an E17 error on the screen, when we managed to open the door and take away the clothes from the drum. The clothes not at all washed properly and also we could see the detergent is still lying on clothes and also the clothes are more wet, just like you dipped the clothes in a full bucket of water. We have called the customer care and raised the complaint. They have arranged a technician to diagnose the problem. Day before yesterday the technician has come and revealed us that the pump and the inlet hose got completely destroyed, so the reason only the machine behaves abnormal. He charged 6400 INR for the spare parts replacement. In my home town my parents are using Samsung front load washing machine for the last 10years till now no complaint at all even my brother is also useig the samsung top load and got good feedback. I tried Bosh differently with the notion on the brand but I really felt bad for the wrong choice."
29,2020-08-30,4,Wash quality is Good,"Overall Machine is very good, i will give 4/5.Handling is bit confusing but after couple of wash you can do it easyly it will not bother you.Wash quality is also superb no doubt.Machine makes bit noise and vibrates bit while spinning but it is giving good results so you can ignore it.Size is bit bulky than other machine.Installation service i took over video call and it was good, before machine start you need to do appropriate plumbing work, that service guy will suggest you.Drum size is actually large comparitively other segment machines. You can put 5 shirt 5 pant 1 or 2 towel in 7k machine.It is water saving machine for normal mode of washesIt takes 50l water for 1 wash which is very important.Just i have not checked about hot water, i don't know how to check it"
30,2022-04-14,4,Good product...,"Video Player is loading.Play VideoPlayMuteCurrent Time 0:00/Duration 0:00Loaded: 0%0:00Stream Type LIVESeek to live, currently behind liveLIVERemaining Time -0:00 1xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedCaptionsCaptions off, selectedAudio TrackFullscreenThis is a modal window.


 Service from Bosch is worst...if it improves it's best ...and don't buy stand. If you keep the washing machine on stand it makes lot of noise."
31,2021-05-17,4,Nice washing machine,"This is a nice washing machine , we bought about one and a half years ago. It has been performing well without any issues ever since. The noise and vibration level is NOT as high as some other brand washing machines (read IFB). Cleaning level is alright(not awesome!) and dries the clothes well. I bought it for around 23k and it has been worth the money. Only issue I have with is the customer service which hasn't delivered my extended warranty document till date. I wonder how they would serve the customers if something goes wrong with the machine !"
32,2022-08-20,5,Simply best,"Bosch a name we can trust.Silent,excellent wash quality,and easy setting once we understand the wash cycles.Would recommend to anyone."
33,2023-02-20,1,Your clothes get rough and loose color ...,"HiThe build quality is good, but the machine doesn't do good job with cleaning, my clothes are getting discoloured and rough, machine is damaging my clothes ...i made very bad choice buying this machine, never expected this from Bosch."
34,2020-08-23,5,"Delivery, Installation & Demo","1. Installation and Demo next day after delivery.2. Techniqian promots Stand, Cover, liquid Detergent, descaller and extended warranty.  a.  Stand: Alloy/Plastic Bosch stand:₹1999 & stainless steel stand:₹ 3000.b. Cover: Bosch cover: ₹799c. Bosch liquid Detergent: ₹280 for 1 ltrd. Bosch Descaler: ₹ 610 for 250gms ( 50 gms for each time @ 1.5-2 months  interval. all products are available @ Amazon for same price.I pursued stand:₹1999, detergent and descaller (both are too costly, have to check for alternative in future)3. Machine vairates with stand at max rpm, to be check without stand.4. I didn't purchase extended warranty on Amazon which was ₹3999 for 3yrs, but while installation there was a offer on extanded warranty for 3 yrs : ₹1499.I purchased Since it's a good deal, Total 2+3 yrs warranty5. Additional charge ₹280 for tap fitting.6. Additional charges for extension pipes if required, Inlet pipe:₹450 & outlet hose:₹2507. Compare to Top load washing machine washing quality is better."
35,2021-02-01,4,"I'm marginally Happy with the product, Giving 4 star due to electric shock","I am writing this review after 3 months of usage.Cons :1.When you touch backside of machine.. You will feel sever electric shock sometimes. I don't know it might be  power grid  socket issue or not.2.Duration varies randomly sometimes despite any problem which leads to deply in wash. (varies 10-15 min)Pros :Easy to useGives you many options for wash based on fabric type.Noise is very less, can notice slight increase after severely usage.Wash quality is good based on setting(can expect good for mix load)"
36,2023-02-27,1,Purchase suggestions - better to consider other brands with best service in your area,After sale service is worse and machine create vibrating sound like generator. Worse experience I had
37,2022-08-17,5,Worth to money,Bosch is the only one Noise less washing machine. Outstanding performance
38,2023-03-03,1,Product  not good,I'm not interested to this product
39,2022-08-21,5,Good so far,Good bosch is always best ..
40,2021-07-20,5,Peace of Mind!,"Excellent product. Far better than semi-automatic which I exchanged with this purchase.Overall, very happy with the product. Comact yet powerful and does the job perfectly. At times front loaded washing machines could be expensive, but the kind of ease of washing they provide is priceless.it's a 5-star rated washing machine. Plenty of wash modes. Works pretty silently.Would recommend to everyone.Only Con for some: It requires a permanent water tapP.S. You may need to buy accessories (stand, cover) additionally at the time od installation or from local market or on Amazon etc from different seller."
41,2018-11-06,5,"Quiet, Powerful and does the job well !","Writing this review after 15 days post receiving the product.The Bosch WAK24618IN washing machine is one of the best out there in the market in the 7KG capacity. After Much research selected this product and below are the details along with Pros and Cons :-Also note for those where the above mentioned model is not available for delivery in their area then you may choose WAK20164IN the only difference is the RPM is 1000 and the available color is white :-)Pros :-1) Stainless Tub2) 7 KG capacity3) @1200 RPM the noise levels is extremely low and hence quiet whilst the spinning and draining is being done.4) The quality of wash is good and the clothes are almost dry, definitely helpful in monsoon season.Cons :-1) Ordered the product on 12th Oct and received the delivery on 20th whilst installation was done after 5 days post follow up although it's supposed to be done within 48 hours. This is the trend of almost all the reviews by those customers who have purchased the product. I've ordered the the WAK20164IN washing machine through their competitor for my relatives and they've done a fabulous job.2) At the time of the installation the Bosch executive will ask you to pay Rs 300/- towards adaptor charges.3) The Bosch Executive will also try to sell you Bosch Descaler worth Rs 610/- followed by Bosch Washing Machine Cover Worth Rs 850/- and lastly followed by a Washing Machine Stand for Rs 2999/- all these can be purchased for a better price online or a known service provider in your locality who retails related products."
42,2016-10-25,4,Product quality is good and it wash well though,"I have been using this for over a month now, atleast weekly twice. Product quality is good and it wash well though. Though 8-10 wash programs are given with all preset timings, but it would have been good if given a option to customize the timings for every particular stage of a wash based on our requirement which we can't do which lacks it. For every program the wash time is minimum 2hrs unless you select 'speed select' option which wash faster and finish in half of its kind of normal program time however its expensive to use this option every time in terms of power usage :)For installation n demo, the demo guys are ok, visited within 48 hrs of my registration call on their toll free number, while registration you need to first ask for their person to visit first and perform the pre-installation checks looks ok in terms of tap slot, water pressure, size etc and as expected for installation before technician visit and install the product. As told by technician that only max two visits given to customer for installation and demo. Technician insist you buy their accessories but they are many times costlier than of same quality available in market, anyway its upto you to buy or not.Overall my experience with it is good so far..you can buy this washing machine.!"
43,2019-09-09,4,"Thanks to Amazon, but Bosch to work on Demo team...","Thanks to Amazon for delivering on time and promised. Post delivery for demo I have contacted Amazon and it was told it is scheduled but while contacting Bosch Customer care they said no request available from Amazon and taken request for Demo and Installation.Bosch customer care team was good and arranged demo in short notice. Main problem starts with Demo guy, who no knowledge, no patience and time for the Demo. Due to water tap, Power Socket requirement demo can not be done in one go which was not told by Bosch to keep it ready. Demo guy was 3 party individual and was only interested in completing the formality. On asking many basic questions he got irrigated. Bosch company should seriously think on this and must take right actions. Now almost month or so elapsed and I am happy with the machine. Body looks sturdy, Glass inside good. Overall its value for money."
44,2019-09-02,5,Absolute gem of a machine,"Absolute gem of a machine. It has been 2 years since I bought this washing machine and  now I literally cannot imagine how I would wash my clothes without it. I will give you 2 examples to explain it's performance. I am from North india and we play holi with real colours, not the gulal crap. After playing holi I washed my jeans at 60 degree water temperature and now you cannot make out that I played holi in those jeans. I once washed my shirt with huge ink stains on it. Nobody could tell afterwards. However there are 2 practicalities that you have to consider when buying this product.1. Some times builders don't make washing space in flats keeping in mind this washing machine size. They make it as per semi automatic top wash design. You have to figure out where you are going to install it (based on its size) before buying it.2. Bosch service guys are great (trust me) but they work based on their process. Meaning they are not plumbers who will install taps and everything. You will have to provide a ready water connection based on their specifications.It has been 2 years and not a single complaint and no any maintenance has been done. I have changed locations as well. After all this the product works flawlessly."
45,2019-10-25,4,Honest Review,"I'll give an honest review about the product, 1st thing first; delivery of the product was pretty smooth without any damages.Machine functions pretty smoothly and the wash is also decent,The only challenge that I faced was regarding the customer service; I had to call the customer care  several times to make my installation process happen and that was also made possible after I contacted the Branch manager of Kolkata, who by the way is an excellent manager, as he got it done in no time and is also kind enough to ask for the feedback.Now, it's my personal experience and as I am a resident of Asansol (West Bengal), it may be possible that there was a problem in communication with the service centre in this area (in particular), but as a whole the product and company are trustable."
46,2022-07-20,5,All my washing problems solved,"Buyers who can afford few thousand bucks extra, must go for it. Its really value for money."
47,2022-07-16,5,Best washing machine of front load type,"Best quality of wash, hassle free, use surfexcel front load detergent to get best results, value for money"
48,2020-06-09,4,Delay in service,The washing machine is one of the great choices you can make in the market but I rated it low only due to the delay and lag in services.The machine arrived late and took another week and a half to get installed. I had to make multiple calls everyday to the customer centre.Even though the response took time it was genuine due to the covid situation. The Bosch company person did the installation very professionally and gave a great demo.This order will be a good choice but only if you have the patience to sail through multiple follow ups.
49,2023-02-21,1,Stopped working in 2.5 year,"Fault appear in circuit, cost of replacing circuit is 9000..."
50,2020-02-26,5,Washing quality,"It's been 4 months since I got this washing machine. Got a good deal from amazon during the BIG SALE event. The delivery was on time and the customer support team contacted immediately after and was lucky enough to get it installed in the very next day. I also purchased a Bosch Siemens Original Square Frame Pedestal for my washing machine which makes us easy to clean the bottom area without even lifting or pushing aside. And the best thing is even after placing it on the pedestal frame the machine doesn't shake. It remains stable.I have felt my clothes remain soft even after multiple washes.I found that one can go for it if you want the following:Less noiseSturdiness; doesn't shakeBetter washing quality.Even though it says we can use washing powder, I have felt that it leaves some residue in the inlet area which needs to be cleaned. I would suggest to go for washing liquid rather than powder along with little bit of comfort (not a must though) for a freshness."
51,2020-09-25,5,Prime German Technology certain to satisfy who believes in Quality and perfection in Product.,"Delivery- Before time. Ordered on 19.09.2020 and got delivered on 21.09.2020 against probable date of devlivery 25.09.2020Installation: Very responsive and responsible team, they themselves called up and detailed about the requirements before installation and detailed about the working, maintenance, load details, water requirements etc very clearly.Requirements other than power connection before installation: 1. 3/4"" tap connection with adapter to suit 3/4"" water filter. 2. The Outlet line shall be atleast 1' deep from top of the machine.If required: Bosch made washing machine stand (Rs.2000), cover(Rs 800), descaling agent(Rs.600), Bosch liquid wash(Rs.280)Noise levels: when compared to top loading machines, NILVibration: almost NIL when the floor is flat.Ease in Use: Very easy to use. All Programs are preset and one just need to turn the knob and select which one required."
